Product_Name,Subcategory,Quantity,Sales
"Hon 4070 Series Pagoda Round Back Stacking Chairs",Chairs,14,5906.03
"Dana Swing-Arm Lamps",Furnishings,14,108.94
"Stackable Trays",Furnishings,14,65.3
"Belkin Premiere Surge Master II 8-outlet surge protector",Appliances,14,952.17
"Economy Rollaway Files",Storage,14,3138.8
"Tenex File Box, Personal Filing Tote with Lid, Black",Storage,14,338.12
"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",Furnishings,12,437.7
"Eldon Spacemaker Box, Quick-Snap Lid, Clear",Art,12,50.77
"Avery Binder Labels",Binders,12,26.06
"Astroparche Fine Business Paper",Paper,12,144.67
"Xerox 1929",Paper,12,351.74
"Adams Write n' Stick Phone Message Book, 11" X 5 1/4", 200 Messages",Paper,12,40.9
"Kingston Digital DataTraveler 8GB USB 2.0",Accessories,12,44.03
"ARKON Windshield Dashboard Air Vent Car Mount Holder",Phones,12,216.96
"BlueLounge Milo Smartphone Stand, White/Metallic",Phones,12,335.89
"Acco Perma 3000 Stacking Storage Drawers",Storage,11,652.62
"Hon Olson Stacker Stools",Chairs,10,5294.46
"DAX Metal Frame, Desktop, Stepped-Edge",Furnishings,10,161.92
"Eldon Advantage Chair Mats for Low to Medium Pile Carpets",Furnishings,10,563.03
"Belkin 7-Outlet SurgeMaster Home Series",Appliances,10,106.17
"Acco 6 Outlet Guardian Standard Surge Suppressor",Appliances,10,149.92
"Xerox 2000",Paper,10,84.24
"SAFCO Commercial Wire Shelving, 72h",Storage,10,1445.26
"Plantronics Voyager Pro HD - Bluetooth Headset",Phones,10,1221.81
"Xerox 214",Paper,9,215.14
"File Shuttle I and Handi-File",Storage,9,262.67
"HP Designjet T520 Inkjet Large Format Printer - 24" Color",Machines,9,18374.9
"Bionaire 99.97% HEPA Air Cleaner",Appliances,8,199.73
"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Art,8,1113.02
"Avery 516",Labels,8,109.65
"Xerox 1974",Paper,8,57.41
"Desktop 3-Pocket Hot File",Storage,8,259.68
"Executive Impressions 14" Contract Wall Clock",Furnishings,7,346.79
"Avery 487",Labels,7,84.87
"Sharp 1540cs Digital Laser Copier",Copiers,7,4399.92
"Panasonic KX TS3282W Corded phone",Phones,7,1665.8
"Stacking Trays by OIC",Furnishings,6,72.71
"Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock",Furnishings,6,786.9
"Kensington 6 Outlet SmartSocket Surge Protector",Appliances,6,147.53
"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",Art,6,118.72
"Xerox 224",Paper,6,95.9
"Wirebound Message Books, Two 4 1/4" x 5" Forms per Page",Paper,6,109.58
"Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset",Accessories,6,2619.74
"ClearSounds CSC500 Amplified Spirit Phone Corded phone",Phones,6,1119.84
"Electrix Incandescent Magnifying Lamp, Black",Furnishings,4,117.28
"Xerox 1987",Paper,4,92.48
"RCA ViSYS 25425RE1 Corded phone",Phones,3,323.98
"Xerox 1983",Paper,2,29.9
