Customer_ID,Order_ID,Order_Date,Product_ID,Sales
KH-16630,CA-2017-102673,2017-11-01,OFF-FA-10003021,7.52
LC-17140,CA-2017-102869,2017-09-09,OFF-PA-10000788,15.552
GM-14695,CA-2017-102988,2017-04-05,OFF-AR-10004757,22.96
AG-10270,CA-2017-103058,2017-07-23,TEC-AC-10001314,99.98
EB-14170,CA-2017-103086,2017-10-17,FUR-FU-10004586,5.312
AB-10105,CA-2017-103100,2017-12-20,OFF-LA-10003720,3.69
VG-21805,CA-2017-103191,2017-09-22,OFF-ST-10002574,331.536
BF-11215,CA-2017-103219,2017-11-09,FUR-FU-10004091,56.52
GM-14680,CA-2017-103310,2017-05-10,OFF-PA-10004353,39.96
DM-13525,CA-2017-103317,2017-07-05,FUR-FU-10001591,19.52
KB-16315,CA-2017-103331,2017-08-26,FUR-FU-10001731,10.68
EH-13990,CA-2017-103366,2017-01-15,TEC-AC-10003628,149.95
BS-11755,CA-2017-103373,2017-05-18,TEC-PH-10002885,779.796
GR-14560,CA-2017-103401,2017-11-21,OFF-PA-10003309,12.96
LW-16825,CA-2017-103429,2017-05-30,OFF-BI-10004233,25.584
CM-12715,CA-2017-103492,2017-10-10,TEC-PH-10001128,719.952
CC-12220,CA-2017-103527,2017-09-09,OFF-PA-10001622,10.896
JL-15505,CA-2017-103590,2017-11-30,OFF-EN-10004007,62.28
MW-18220,CA-2017-103660,2017-08-25,TEC-PH-10000895,1007.94
AF-10885,CA-2017-103702,2017-09-12,OFF-BI-10002429,63.924
MG-17875,CA-2017-103744,2017-02-23,OFF-LA-10004425,6.936
DP-13000,CA-2017-103800,2017-01-03,OFF-PA-10000174,16.448
EM-13825,CA-2017-103807,2017-12-02,TEC-AC-10000199,5.95
PG-18895,CA-2017-103849,2017-05-11,TEC-AC-10001465,58.112
BN-11515,CA-2017-103940,2017-09-17,OFF-ST-10004963,30.28
MC-17605,CA-2017-103989,2017-03-19,TEC-PH-10004667,323.976
JM-15265,CA-2017-104178,2017-08-25,FUR-FU-10000771,6.28
DB-13060,CA-2017-104269,2017-03-01,FUR-CH-10004063,457.568
LM-17065,CA-2017-104283,2017-06-27,OFF-ST-10004337,306.2
DB-13660,CA-2017-104402,2017-06-17,TEC-MA-10000423,65.97
CK-12325,CA-2017-104472,2017-06-02,OFF-BI-10001658,59.808
CM-12715,CA-2017-104563,2017-03-07,OFF-AR-10000390,20.65
SP-20620,CA-2017-104738,2017-12-30,OFF-EN-10004955,12.984
TB-21175,CA-2017-104773,2017-12-08,OFF-ST-10000777,60.416
BT-11530,CA-2017-104780,2017-05-21,OFF-AR-10003514,31.84
MH-17440,CA-2017-104808,2017-02-04,OFF-BI-10003676,17.248
JG-15805,CA-2017-104829,2017-11-18,OFF-PA-10003016,21.98
CK-12760,CA-2017-104976,2017-12-09,OFF-PA-10003845,34.68
SZ-20035,CA-2017-105165,2017-09-07,TEC-PH-10000675,196.776
PK-18910,CA-2017-105172,2017-04-04,OFF-LA-10001641,18.9
DH-13675,CA-2017-105249,2017-11-28,OFF-SU-10001225,7.36
AP-10915,CA-2017-105270,2017-11-11,OFF-AR-10003156,30.48
EH-14185,CA-2017-105340,2017-11-22,OFF-BI-10001765,6.928
VS-21820,CA-2017-105417,2017-01-07,FUR-FU-10004864,76.728
EJ-14155,CA-2017-105648,2017-03-03,FUR-TA-10002958,626.352
JG-15160,CA-2017-105872,2017-05-30,OFF-BI-10003684,70.368
PK-19075,CA-2017-105893,2017-11-11,OFF-ST-10004186,665.88
MY-18295,CA-2017-105984,2017-11-24,TEC-PH-10000560,1049.97
JO-15145,CA-2017-106054,2017-01-06,OFF-AR-10002399,12.78
NR-18550,CA-2017-106229,2017-06-07,FUR-TA-10002041,268.935
CK-12595,CA-2017-106264,2017-12-26,OFF-SU-10002189,11.91
BS-11590,CA-2017-106376,2017-12-05,OFF-AR-10002671,1113.02
GG-14650,CA-2017-106439,2017-10-31,OFF-FA-10002975,11.34
NP-18700,CA-2017-106572,2017-09-05,OFF-ST-10000585,264.32
RB-19645,CA-2017-106719,2017-08-24,OFF-BI-10002799,8.288
RS-19765,CA-2017-106726,2017-12-06,OFF-ST-10001496,1261.33
DC-13285,CA-2017-106803,2017-12-29,OFF-ST-10002444,24.56
AJ-10795,CA-2017-106810,2017-05-14,FUR-FU-10004306,310.88
BM-11785,CA-2017-106971,2017-09-02,TEC-AC-10000844,475.944
DP-13390,CA-2017-107139,2017-07-05,OFF-BI-10001670,180.96
GZ-14545,CA-2017-107153,2017-09-28,OFF-ST-10001321,46.26
DB-13270,CA-2017-107181,2017-02-04,OFF-BI-10004230,82.896
BS-11590,CA-2017-107398,2017-08-25,OFF-BI-10001982,6.528
RD-19720,CA-2017-107454,2017-11-02,OFF-LA-10001569,34.86
KN-16705,CA-2017-107524,2017-03-02,OFF-EN-10001990,11.36
PB-19150,CA-2017-107573,2017-12-12,OFF-EN-10001099,23.472
EH-13945,CA-2017-107594,2017-07-02,TEC-PH-10002923,73.98
ST-20530,CA-2017-107706,2017-02-14,OFF-PA-10000466,16.176
CK-12760,CA-2017-107755,2017-02-07,TEC-AC-10000710,115.36
BT-11395,CA-2017-107769,2017-10-28,TEC-PH-10001336,257.98
LA-16780,CA-2017-107811,2017-04-29,FUR-CH-10001394,561.584
MC-17275,CA-2017-107818,2017-09-08,OFF-AR-10003045,5.88
JP-15460,CA-2017-107916,2017-08-24,FUR-FU-10004586,13.28
RD-19480,CA-2017-108147,2017-06-08,OFF-BI-10003876,68.48
DL-13315,CA-2017-108182,2017-02-06,OFF-BI-10001196,8.952
ES-14080,CA-2017-108189,2017-10-02,OFF-PA-10001838,9.408
EJ-13720,CA-2017-108273,2017-12-16,OFF-PA-10000029,36.288
AJ-10780,CA-2017-108609,2017-10-31,FUR-TA-10003954,1421.66
DB-12910,CA-2017-108707,2017-10-24,OFF-PA-10000788,10.368
MM-17260,CA-2017-108861,2017-05-28,OFF-BI-10003876,136.96
DO-13435,CA-2017-108903,2017-10-03,OFF-AR-10004010,55.984
CS-12355,CA-2017-109043,2017-08-15,OFF-PA-10000312,91.36
JC-15775,CA-2017-109127,2017-12-21,OFF-LA-10004409,17.28
DE-13255,CA-2017-109134,2017-11-05,FUR-FU-10000320,20.04
AR-10825,CA-2017-109218,2017-06-30,OFF-AR-10001374,32.4
ND-18370,CA-2017-109232,2017-01-13,FUR-CH-10000422,545.94
CS-12175,CA-2017-109302,2017-08-12,OFF-BI-10002854,196.21
LC-16930,CA-2017-109491,2017-02-20,TEC-AC-10001284,62.31
VP-21760,CA-2017-109680,2017-10-06,OFF-ST-10001932,386.34
LH-16900,CA-2017-109855,2017-09-01,OFF-BI-10004716,23.744
PG-18820,CA-2017-109890,2017-07-21,TEC-PH-10004100,35.98
BW-11200,CA-2017-109897,2017-08-12,TEC-PH-10003691,806.336
BF-10975,CA-2017-109904,2017-07-14,OFF-AR-10004999,17.94
LR-17035,CA-2017-109918,2017-09-07,OFF-SU-10004290,27.36
VP-21760,CA-2017-109932,2017-12-09,OFF-PA-10001804,10.688
LF-17185,CA-2017-110030,2017-12-06,FUR-FU-10002759,23.976
SP-20650,CA-2017-110065,2017-08-05,TEC-PH-10002468,135.99
MG-17680,CA-2017-110072,2017-10-22,FUR-FU-10000521,93.888
LC-16885,CA-2017-110100,2017-04-25,TEC-PH-10004531,302.376
BF-11170,CA-2017-110184,2017-07-12,OFF-ST-10000107,249.75
EB-13870,CA-2017-110219,2017-05-05,FUR-CH-10001146,127.869
ED-13885,CA-2017-110352,2017-11-23,OFF-LA-10003923,23.68
AS-10225,CA-2017-110408,2017-10-18,OFF-ST-10001522,275.97
TB-21400,CA-2017-110422,2017-01-21,FUR-FU-10001889,25.248
ED-13885,CA-2017-110527,2017-08-09,OFF-LA-10000262,20.88
MM-18055,CA-2017-110555,2017-04-11,OFF-ST-10000876,87.08
JD-16015,CA-2017-110611,2017-10-06,OFF-ST-10000642,83.92
RH-19495,CA-2017-110639,2017-08-23,OFF-PA-10003936,25.92
AJ-10795,CA-2017-110786,2017-12-29,FUR-FU-10000550,24.9
JL-15835,CA-2017-110849,2017-04-18,TEC-MA-10002859,287.968
CR-12625,CA-2017-111003,2017-06-01,OFF-BI-10001072,45.48
TB-21400,CA-2017-111059,2017-02-03,OFF-BI-10004593,83.84
RW-19630,CA-2017-111150,2017-12-31,OFF-AR-10000034,29.68
NH-18610,CA-2017-111157,2017-03-02,OFF-PA-10000327,3.424
TS-21430,CA-2017-111192,2017-07-30,FUR-BO-10002916,1367.84
AT-10435,CA-2017-111360,2017-11-24,OFF-BI-10003350,5.742
KL-16555,CA-2017-111451,2017-12-26,FUR-FU-10004091,300.416
DJ-13510,CA-2017-111500,2017-08-17,OFF-PA-10000595,114.2
JK-15625,CA-2017-111773,2017-06-29,OFF-BI-10000174,13.92
NM-18445,CA-2017-111857,2017-04-23,OFF-PA-10001878,48.91
EK-13795,CA-2017-111871,2017-03-18,FUR-BO-10004218,1198.33
NC-18340,CA-2017-111899,2017-05-04,OFF-AR-10001725,37.84
GD-14590,CA-2017-111934,2017-05-05,OFF-BI-10004364,11.88
EB-14170,CA-2017-111962,2017-09-29,OFF-BI-10001308,10.048
DP-13165,CA-2017-112158,2017-12-02,TEC-AC-10003628,119.96
KE-16420,CA-2017-112291,2017-04-03,OFF-EN-10001415,11.16
PO-19195,CA-2017-112326,2017-01-04,OFF-LA-10003223,11.784
JO-15280,CA-2017-112403,2017-03-31,OFF-BI-10003529,0.852
KN-16450,CA-2017-112718,2017-12-16,OFF-BI-10000591,1.167
LW-17125,CA-2017-112837,2017-09-11,FUR-FU-10004006,127.95
NR-18550,CA-2017-112851,2017-09-17,OFF-EN-10001453,182.94
AP-10915,CA-2017-113047,2017-10-24,OFF-FA-10002763,11.85
LF-17185,CA-2017-113166,2017-12-24,OFF-PA-10001947,9.568
SC-20305,CA-2017-113257,2017-12-16,TEC-AC-10004171,319.968
DS-13030,CA-2017-113271,2017-07-09,OFF-BI-10002609,14.304
LH-17155,CA-2017-113320,2017-12-12,FUR-FU-10004270,12.54
AJ-10960,CA-2017-113362,2017-09-14,OFF-ST-10001809,449.15
SF-20065,CA-2017-113383,2017-09-10,OFF-AP-10004532,81.92
KD-16345,CA-2017-113579,2017-12-13,OFF-PA-10001457,90.24
AH-10030,CA-2017-113768,2017-05-13,FUR-CH-10002439,279.456
BC-11125,CA-2017-113859,2017-09-13,FUR-CH-10004698,340.116
VF-21715,CA-2017-113880,2017-03-01,FUR-CH-10000863,634.116
TH-21550,CA-2017-113887,2017-04-05,OFF-PA-10004071,55.48
CK-12205,CA-2017-113929,2017-06-16,OFF-EN-10003286,41.4
JP-16135,CA-2017-113964,2017-09-23,OFF-BI-10004654,18.464
GH-14410,CA-2017-114125,2017-07-09,OFF-LA-10004559,2.88
AF-10885,CA-2017-114181,2017-05-10,FUR-BO-10004467,349.965
EA-14035,CA-2017-114195,2017-11-01,FUR-FU-10002253,68.704
MD-17350,CA-2017-114251,2017-11-05,FUR-FU-10001468,273.568
DB-13555,CA-2017-114314,2017-10-11,OFF-LA-10000240,7.31
NC-18535,CA-2017-114321,2017-08-20,FUR-CH-10001797,500.24
XP-21865,CA-2017-114335,2017-09-28,FUR-FU-10000277,337.088
NP-18325,CA-2017-114433,2017-05-13,TEC-AC-10002800,149.97
JF-15295,CA-2017-114510,2017-03-14,OFF-BI-10001617,33.088
TH-21235,CA-2017-114517,2017-12-23,FUR-TA-10001676,53.316
FM-14215,CA-2017-114643,2017-06-13,OFF-AR-10003631,14.52
FM-14215,CA-2017-114790,2017-03-11,OFF-AP-10002578,146.76
MM-17920,CA-2017-115049,2017-09-26,TEC-AC-10004859,153.824
AR-10510,CA-2017-115056,2017-05-02,OFF-AP-10003971,26.136
LS-17200,CA-2017-115084,2017-10-18,FUR-CH-10004626,605.34
DA-13450,CA-2017-115133,2017-09-26,OFF-AP-10001634,16.704
LC-17050,CA-2017-115161,2017-01-31,FUR-BO-10003966,290.666
RC-19960,CA-2017-115259,2017-08-25,OFF-FA-10000621,40.096
AB-10600,CA-2017-115336,2017-11-18,OFF-BI-10001107,14.48
RF-19735,CA-2017-115357,2017-08-06,TEC-AC-10000023,62.91
DL-13315,CA-2017-115791,2017-01-16,FUR-FU-10001095,127.104
BH-11710,CA-2017-115812,2017-06-09,FUR-FU-10001487,48.86
SH-20395,CA-2017-115889,2017-11-02,TEC-PH-10001615,46.384
NG-18430,CA-2017-115973,2017-11-24,OFF-AR-10004757,2.624
VW-21775,CA-2017-115980,2017-07-15,TEC-AC-10003709,2.97
SG-20470,CA-2017-116190,2017-07-26,FUR-CH-10000553,67.88
CL-12565,CA-2017-116239,2017-03-04,OFF-ST-10001370,354.9
LW-17215,CA-2017-116246,2017-09-12,FUR-CH-10002024,3785.29
JF-15190,CA-2017-116407,2017-11-15,OFF-AR-10001315,4.224
BM-11785,CA-2017-116568,2017-12-14,FUR-CH-10002439,186.304
KT-16480,CA-2017-116666,2017-05-08,TEC-CO-10001449,1799.97
JO-15280,CA-2017-116673,2017-12-15,FUR-FU-10003829,6.16
MS-17980,CA-2017-116757,2017-06-30,OFF-PA-10002005,25.92
MH-17290,CA-2017-116785,2017-04-26,OFF-AR-10003504,21.4
Dp-13240,CA-2017-116834,2017-10-11,FUR-FU-10001196,63.47
SC-20095,CA-2017-116904,2017-09-23,OFF-PA-10004888,32.4
ME-18010,CA-2017-116932,2017-07-21,OFF-AR-10002067,99.2
SC-20095,CA-2017-117016,2017-03-04,OFF-AR-10001374,15.552
JF-15490,CA-2017-117317,2017-10-19,OFF-PA-10004519,13.44
BF-10975,CA-2017-117345,2017-08-01,OFF-LA-10000240,17.544
MR-17545,CA-2017-117429,2017-10-07,FUR-FU-10000222,129.92
NP-18325,CA-2017-117464,2017-07-22,OFF-AR-10003190,11.52
LH-16750,CA-2017-117478,2017-09-21,OFF-BI-10000050,6.57
MW-18235,CA-2017-117639,2017-05-21,OFF-BI-10003925,2715.93
PM-18940,CA-2017-117709,2017-05-04,OFF-BI-10001294,46.8
RB-19465,CA-2017-117765,2017-09-07,FUR-TA-10001039,429.9
MM-17920,CA-2017-118192,2017-01-13,OFF-PA-10002947,37.408
MG-17890,CA-2017-118276,2017-12-29,FUR-FU-10002111,8.736
KH-16360,CA-2017-118304,2017-04-29,TEC-PH-10000376,19.98
BN-11515,CA-2017-118339,2017-03-17,OFF-AP-10001154,93.78
CS-12130,CA-2017-118962,2017-08-05,OFF-PA-10000659,20.94
MY-18295,CA-2017-118976,2017-04-28,OFF-BI-10001628,20.86
MS-17770,CA-2017-119032,2017-11-27,OFF-FA-10003021,3.76
JD-16150,CA-2017-119144,2017-11-16,TEC-PH-10004188,79.968
MP-18175,CA-2017-119151,2017-11-25,OFF-ST-10003470,1117.92
HD-14785,CA-2017-119172,2017-05-11,OFF-PA-10003036,17.472
YC-21895,CA-2017-119375,2017-11-17,OFF-ST-10002011,2934.33
SP-20860,CA-2017-119466,2017-12-15,FUR-FU-10001546,8.544
DM-13345,CA-2017-119529,2017-11-03,OFF-BI-10000546,5.76
DN-13690,CA-2017-119977,2017-10-08,OFF-PA-10003823,123.92
KE-16420,CA-2017-120096,2017-07-04,OFF-PA-10001977,177.536
AT-10435,CA-2017-120243,2017-12-27,OFF-LA-10004425,11.56
MS-17365,CA-2017-120278,2017-11-07,OFF-AP-10001293,245.88
SB-20185,CA-2017-120411,2017-09-20,FUR-BO-10004218,493.43
DW-13585,CA-2017-120432,2017-08-24,OFF-SU-10004661,25.5
RP-19390,CA-2017-120474,2017-12-01,FUR-CH-10001854,2807.84
SS-20140,CA-2017-120544,2017-11-23,FUR-FU-10001940,6.368
JK-16120,CA-2017-120670,2017-11-02,TEC-AC-10004171,799.92
IM-15070,CA-2017-120768,2017-12-19,OFF-BI-10001191,152.76
RD-19930,CA-2017-120775,2017-10-03,OFF-FA-10002676,4.344
PO-18865,CA-2017-120838,2017-03-23,OFF-ST-10000585,330.4
WB-21850,CA-2017-120852,2017-12-20,OFF-AP-10001563,19.432
TS-21205,CA-2017-120887,2017-09-27,FUR-FU-10001588,87.54
GA-14515,CA-2017-120950,2017-11-06,OFF-PA-10000587,43.68
SC-20020,CA-2017-121006,2017-11-10,OFF-AR-10001149,3.9
MO-17500,CA-2017-121167,2017-11-28,OFF-BI-10003676,17.248
ON-18715,CA-2017-121286,2017-11-04,OFF-FA-10000585,8.376
SG-20605,CA-2017-121573,2017-11-03,TEC-PH-10000984,783.96
BT-11680,CA-2017-121629,2017-11-28,TEC-MA-10004679,998.85
HP-14815,CA-2017-121664,2017-05-06,OFF-BI-10003684,140.736
JK-15625,CA-2017-121727,2017-08-19,OFF-AR-10004930,10.72
ML-17395,CA-2017-121762,2017-02-14,TEC-AC-10000736,239.97
JS-15880,CA-2017-121769,2017-04-08,FUR-TA-10004442,172.11
AH-10030,CA-2017-122070,2017-04-22,OFF-EN-10004773,247.84
HP-14815,CA-2017-122217,2017-11-24,FUR-FU-10002045,111.15
JD-15895,CA-2017-122336,2017-04-13,OFF-AR-10000122,17.856
MN-17935,CA-2017-122567,2017-02-16,OFF-BI-10002012,1.08
AR-10540,CA-2017-122588,2017-11-25,FUR-FU-10001095,52.96
DP-13000,CA-2017-122609,2017-11-12,FUR-FU-10004587,25.128
AB-10255,CA-2017-122679,2017-07-22,OFF-AR-10004757,19.68
NG-18430,CA-2017-122749,2017-12-03,TEC-PH-10003811,479.96
SB-20290,CA-2017-122882,2017-09-07,OFF-ST-10002344,64.784
SM-20950,CA-2017-122931,2017-09-29,OFF-AR-10003469,4.224
RA-19915,CA-2017-123064,2017-06-30,OFF-AR-10004582,5.248
SP-20620,CA-2017-123127,2017-09-08,OFF-AP-10001962,16.78
MN-17935,CA-2017-123225,2017-07-11,TEC-PH-10000895,575.968
DE-13255,CA-2017-123253,2017-08-22,OFF-AR-10002804,3.912
FM-14290,CA-2017-123260,2017-08-26,TEC-AC-10002323,176.8
AH-10120,CA-2017-123295,2017-07-18,FUR-CH-10002372,259.136
SP-20545,CA-2017-123316,2017-10-13,OFF-BI-10002764,7.752
LH-16900,CA-2017-123323,2017-11-07,OFF-BI-10003684,123.144
JD-16060,CA-2017-123344,2017-09-24,OFF-ST-10001713,211.96
EB-13930,CA-2017-123400,2017-02-02,OFF-BI-10000666,18.336
DW-13195,CA-2017-123477,2017-01-18,OFF-AP-10000692,64.864
TC-20980,CA-2017-123498,2017-11-07,OFF-BI-10000632,26.046
MC-18100,CA-2017-123855,2017-06-18,TEC-PH-10000215,139.8
RF-19840,CA-2017-123925,2017-12-17,OFF-AR-10002952,40.05
PJ-19015,CA-2017-124023,2017-04-07,FUR-FU-10004415,8.96
RF-19345,CA-2017-124079,2017-12-13,FUR-FU-10002553,87.96
SH-20635,CA-2017-124247,2017-12-16,FUR-CH-10001854,1403.92
TB-21520,CA-2017-124394,2017-10-17,OFF-BI-10003676,10.78
MH-17785,CA-2017-124429,2017-05-27,FUR-TA-10002607,567.12
SS-20515,CA-2017-124464,2017-07-14,OFF-AP-10000576,39.48
MA-17560,CA-2017-124478,2017-08-08,TEC-CO-10001571,549.99
SL-20155,CA-2017-124513,2017-09-21,OFF-AR-10002956,66.03
CS-11860,CA-2017-124618,2017-05-02,TEC-CO-10004202,479.984
DV-13465,CA-2017-124646,2017-06-22,OFF-ST-10001097,501.81
CC-12610,CA-2017-124688,2017-08-27,TEC-PH-10000455,579.95
MH-17785,CA-2017-124702,2017-11-18,FUR-FU-10003553,137.54
GW-14605,CA-2017-124709,2017-07-27,TEC-AC-10002842,238
GZ-14470,CA-2017-124723,2017-08-05,FUR-TA-10001307,489.23
LS-17245,CA-2017-124730,2017-11-26,TEC-PH-10002170,279.96
AP-10915,CA-2017-124737,2017-08-23,OFF-PA-10001837,15.552
ME-17725,CA-2017-124807,2017-07-12,OFF-PA-10001526,35.856
LD-17005,CA-2017-124856,2017-09-29,OFF-ST-10002615,1395.54
KD-16495,CA-2017-125136,2017-09-28,OFF-PA-10001457,96.256
PW-19030,CA-2017-125150,2017-05-16,FUR-CH-10002439,232.88
AG-10390,CA-2017-125171,2017-09-03,OFF-LA-10001175,14.4
BM-11650,CA-2017-125514,2017-09-21,OFF-AP-10000358,25.96
NB-18655,CA-2017-125542,2017-12-05,OFF-EN-10000056,348.488
ML-17410,CA-2017-125556,2017-11-14,TEC-PH-10001079,832.93
BK-11260,CA-2017-125612,2017-08-03,OFF-PA-10001019,39.96
RB-19645,CA-2017-125682,2017-11-22,OFF-PA-10001752,9.96
CL-12565,CA-2017-125731,2017-09-10,OFF-EN-10003072,21.728
NM-18445,CA-2017-125759,2017-02-08,FUR-FU-10002111,14.56
WB-21850,CA-2017-125829,2017-11-04,TEC-PH-10001079,666.344
MW-18220,CA-2017-125997,2017-09-20,TEC-PH-10003484,629.95
BS-11665,CA-2017-126032,2017-06-23,TEC-AC-10000158,86.376
SS-20410,CA-2017-126193,2017-09-07,OFF-FA-10000936,13.16
JE-15715,CA-2017-126200,2017-08-25,OFF-BI-10002133,25.68
LH-16900,CA-2017-126277,2017-09-13,OFF-BI-10004022,2.502
ME-18010,CA-2017-126333,2017-12-23,OFF-PA-10000223,5.184
VD-21670,CA-2017-126361,2017-08-04,OFF-AP-10003590,1089.75
RR-19525,CA-2017-126403,2017-09-09,OFF-PA-10001144,166.44
HG-14965,CA-2017-126480,2017-09-20,OFF-PA-10004610,8.56
LT-16765,CA-2017-126522,2017-09-01,OFF-AR-10004042,53.94
PP-18955,CA-2017-126683,2017-09-29,FUR-FU-10001706,6.16
KM-16720,CA-2017-126760,2017-07-26,TEC-PH-10001363,911.984
ZC-21910,CA-2017-126802,2017-12-29,FUR-FU-10000193,38.976
SM-20950,CA-2017-126907,2017-11-01,OFF-PA-10000533,15.696
PS-18760,CA-2017-126963,2017-06-15,OFF-PA-10001952,36.544
GM-14680,CA-2017-127012,2017-08-11,FUR-FU-10003691,12.35
HR-14830,CA-2017-127131,2017-11-24,OFF-BI-10004656,12.096
HL-15040,CA-2017-127159,2017-05-12,FUR-FU-10000010,34.79
KH-16360,CA-2017-127166,2017-05-21,OFF-EN-10003134,56.064
CP-12085,CA-2017-127187,2017-12-04,TEC-PH-10000673,129.98
JL-15835,CA-2017-127299,2017-09-19,OFF-ST-10003722,67.344
CM-11815,CA-2017-127383,2017-12-31,OFF-EN-10004773,49.568
MC-17590,CA-2017-127446,2017-11-25,TEC-AC-10001635,24.672
MS-17365,CA-2017-127488,2017-09-22,OFF-LA-10001613,4.608
BG-11695,CA-2017-127523,2017-05-11,OFF-AP-10004249,35.91
SS-20410,CA-2017-127558,2017-11-15,FUR-FU-10002505,10.11
CS-12400,CA-2017-127586,2017-09-26,OFF-ST-10002615,310.12
NF-18385,CA-2017-127614,2017-02-11,TEC-AC-10001432,234.45
EM-14065,CA-2017-127691,2017-07-22,OFF-AR-10002053,5.96
QJ-19255,CA-2017-127859,2017-03-17,OFF-PA-10003641,126.624
JD-15895,CA-2017-127866,2017-07-20,TEC-AC-10000023,41.94
CL-12565,CA-2017-127936,2017-09-02,OFF-AR-10002445,21.24
AP-10720,CA-2017-127964,2017-03-03,TEC-PH-10004700,9.99
AA-10315,CA-2017-128055,2017-03-31,OFF-BI-10004390,673.568
AD-10180,CA-2017-128062,2017-11-19,OFF-PA-10001583,5.88
DB-13060,CA-2017-128146,2017-06-21,TEC-PH-10004539,1322.93
GT-14710,CA-2017-128209,2017-11-17,OFF-BI-10001359,2152.78
CA-12265,CA-2017-128237,2017-03-25,OFF-AR-10003829,6.56
MZ-17515,CA-2017-128524,2017-11-11,OFF-AP-10002892,22.98
AS-10240,CA-2017-128538,2017-10-11,OFF-EN-10001219,7.64
SC-20260,CA-2017-128622,2017-11-15,OFF-SU-10001574,10.95
TT-21070,CA-2017-128839,2017-09-08,OFF-FA-10002280,45
RS-19765,CA-2017-128846,2017-04-07,TEC-PH-10003273,629.95
PB-19105,CA-2017-128888,2017-11-15,OFF-EN-10003001,604.656
GH-14410,CA-2017-128986,2017-08-03,OFF-PA-10001289,93.024
RA-19885,CA-2017-129091,2017-11-22,OFF-EN-10004955,16.23
LC-17050,CA-2017-129147,2017-11-02,TEC-PH-10001299,539.964
KB-16585,CA-2017-129168,2017-08-17,OFF-PA-10001639,15.552
HM-14860,CA-2017-129189,2017-07-21,OFF-AP-10000124,4.992
TB-21250,CA-2017-129364,2017-12-08,OFF-LA-10001569,27.888
Dp-13240,CA-2017-129574,2017-05-26,OFF-PA-10002893,48.4
KC-16675,CA-2017-129819,2017-12-13,OFF-BI-10004970,12.39
AC-10420,CA-2017-129924,2017-07-12,OFF-BI-10003314,7.712
EB-13705,CA-2017-129938,2017-12-15,FUR-CH-10003774,445.802
SV-20365,CA-2017-130092,2017-01-11,FUR-FU-10000010,9.94
TD-20995,CA-2017-130155,2017-05-19,OFF-SU-10004737,34.2
JS-15940,CA-2017-130274,2017-05-03,OFF-LA-10002195,21.56
SC-20020,CA-2017-130421,2017-03-03,OFF-AP-10002534,176.772
TG-21640,CA-2017-130428,2017-03-31,FUR-CH-10002965,1125.49
